row-number,field,issue-type,value
21,end-date,date,/permitted-development-right/3G
22,end-date,date,/permitted-development-right/3H
23,entry-date,default,2021-03-24
24,entry-date,default,2021-03-24
25,documentation-url,uri,2020-12-31
25,entry-date,default,2021-03-24
27,entry-date,default,2021-03-24
28,entry-date,default,2021-03-24
29,entry-date,default,2021-03-24
30,entry-date,default,2021-03-24
31,entry-date,default,2021-03-24
32,entry-date,default,2021-03-24
33,documentation-url,uri,and
33,entry-date,default,2021-03-24
34,documentation-url,uri,1995
34,entry-date,default,2021-03-24
35,end-date,date,/permitted-development-right/3N
38,end-date,date,/permitted-development-right/3Q
45,end-date,date,/permitted-development-right/4B
52,entry-date,date,of not less than 0.4 but less than 5 hectares in area
52,start-date,date,of development consisting of:
52,entry-date,default,2021-03-24
53,entry-date,default,2021-03-24
54,entry-date,default,2021-03-24
55,documentation-url,uri,main
55,entry-date,default,2021-03-24
56,entry-date,default,2021-03-24
57,entry-date,default,2021-03-24
58,entry-date,default,2021-03-24
59,documentation-url,uri,repairing ponds and raceways; the installation of grading machinery
59,entry-date,date,/permitted-development-right/6B
59,entry-date,default,2021-03-24
61,end-date,date,/permitted-development-right/6E
66,end-date,date,/permitted-development-right/7E
68,end-date,date,/permitted-development-right/7G
71,end-date,date,/permitted-development-right/7J
73,end-date,date,/permitted-development-right/7L
75,end-date,date,/permitted-development-right/7N
90,end-date,date,/permitted-development-right/9A
92,end-date,date,/permitted-development-right/9C
93,end-date,date,/permitted-development-right/9D
96,end-date,date,/permitted-development-right/11A
105,end-date,date,/permitted-development-right/14A
111,entry-date,date,alteration or replacement of a microgeneration wind turbine on:
111,entry-date,default,2021-03-24
112,entry-date,default,2021-03-24
113,documentation-url,uri,1995
113,entry-date,default,2021-03-24
115,entry-date,date,"alteration or replacement of stand-alone solar for microgeneration within the curtilage of a building other than a dwellinghouse or a block of flats"""
115,entry-date,default,2021-03-24
118,end-date,date,/permitted-development-right/14N
119,end-date,date,/permitted-development-right/14O
122,end-date,date,/permitted-development-right/16A
128,end-date,date,/permitted-development-right/17B
130,end-date,date,/permitted-development-right/17D
131,end-date,date,/permitted-development-right/17E
158,end-date,date,/permitted-development-right/19Q
161,end-date,date,/permitted-development-right/19T
